"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	3825	519,006		674,71		72,4471		0,007 		3,818	7372,49
	3850	512,725		666,54		72,4461		0,006 		3,804	7358,04
	3875	506,448		658,38		72,444  	0,006 		3,791	7343,93
	3900	500,175		650,23		72,443  	0,006 		3,777	7330,16
	3925	493,908		642,08		72,4421		0,006 		3,763	7316,10
	3950	487,644		633,94		72,440  	0,006 		3,749	7302,07
	3975	481,386		625,80		72,4391		0,006 		3,735	7287,05
	4000	475,132		617,67		72,437  	0,006 		3,721	7272,05
	4025	468,884		609,55		72,436  	0,006 		3,707	7255,72
	4050	462,642		601,43		72,434  	0,006 		3,693	7236,82
	4075	456,407		593,33		72,4321		0,006 		3,679	7216,46
	4100	450,179		585,23		72,4311		0,006 		3,665	7195,75
	4125	443,958		577,15		72,429  	0,006 		3,651	7175,32
	4150	437,745		569,07		72,4271		0,006 		3,637	7153,47
	4175	431,540		561,00		72,426  	0,006 		3,623	7130,21
	4200	425,343		552,95		72,424  	0,006 		3,609	7107,39
	4225	419,155		544,90		72,422  	0,006 		3,595	7085,01
	4250	412,975		536,87		72,420  	0,006 		3,580	7060,58
	4275	406,805		528,85		72,419  	0,006 		3,566	7034,95
	4300	400,645		520,84		72,4171		0,006 		3,552	7009,76
	4325	394,494		512,84		72,4151		0,006 		3,538	6985,01
	4350	388,353		504,86		72,413  	0,006 		3,523	6957,47
	4375	382,224		496,89		72,4111		0,006 		3,509	6923,30
	4400	376,110		488,94		72,409  	0,006 		3,494	6874,93
	4425	370,017		481,02		72,4071		0,005 		3,480	6816,18
	4450	363,948		473,13		72,405  	0,005 		3,465	6755,78
	4475	357,901		465,27		72,403  	0,005 		3,451	6696,24
	4500	351,878		457,44		72,400  	0,005 		3,436	6638,32
	4525	345,879		449,64		72,3981		0,005 		3,422	6581,98
	4550	339,904		441,88		72,396  	0,005 		3,407	6522,70
	4575	333,955		434,14		72,394  	0,005 		3,393	6459,50
	4600	328,033		426,44		72,392  	0,005 		3,378	6398,09
